Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,10,1000,False,36,46,3,100
0.001,10,1000,False,37,41,3,100
0.001,10,1000,False,38,40,3,100
0.001,10,1000,False,39,42,3,100
0.001,10,1000,False,40,48,3,100
0.001,10,1000,False,41,41,3,100
0.001,10,1000,False,42,48,3,100
0.001,10,1000,False,43,37,3,100
0.001,10,1000,False,44,35,3,100
0.001,10,1000,False,45,47,3,100
0.001,10,1000,False,46,53,3,100
0.001,10,1000,False,47,36,3,100
0.001,10,1000,False,48,37,3,100
0.001,10,1000,False,49,48,3,100
0.001,10,1000,False,50,44,3,100
0.001,10,1000,False,51,50,3,100
0.001,10,1000,False,52,50,3,100
0.001,10,1000,False,53,45,3,100
0.001,10,1000,False,54,44,3,100
0.001,10,1000,False,55,37,3,100
0.001,10,1000,False,56,44,3,100
0.001,10,1000,False,57,41,3,100
0.001,10,1000,False,58,38,3,100
0.001,10,1000,False,59,42,3,100
0.001,10,1000,False,60,32,3,100
0.001,10,1000,False,61,53,3,100
0.001,10,1000,False,62,48,3,100
0.001,10,1000,False,63,37,3,100
0.001,10,1000,False,64,43,3,100
0.001,10,1000,False,65,45,3,100
0.001,10,1000,False,66,42,3,100
0.001,10,1000,False,67,40,3,100
0.001,10,1000,False,68,47,3,100
0.001,10,1000,False,69,43,3,100
0.001,10,1000,False,70,44,3,100
0.001,10,1000,False,71,50,3,100
0.001,10,1000,False,72,42,3,100
0.001,10,1000,False,73,44,3,100
0.001,10,1000,False,74,48,3,100
