Mutation Rate,Population Size,Numer of Generations,is_tournament,Tournament Size,Max Fitness Achieved,Valley Wdith,Genome Length
0.001,100,1000,True,12.0,37,3,100
0.001,100,1000,True,13.0,22,3,100
0.001,100,1000,True,14.0,22,3,100
0.001,10,1000,True,1.0,41,3,100
0.001,10,1000,True,2.0,7,3,100
0.001,10,1000,True,3.0,7,3,100
0.001,10,1000,True,4.0,1,3,100
0.001,10,1000,True,5.0,7,3,100
0.001,10,1000,True,6.0,7,3,100
0.001,10,1000,True,7.0,4,3,100
0.001,10,1000,True,8.0,3,3,100
0.001,10,1000,True,9.0,1,3,100
0.001,10,1000,True,10.0,7,3,100
0.001,10,1000,True,1.1,49,3,100
0.001,10,1000,True,1.2,56,3,100
0.001,10,1000,True,1.3,42,3,100
0.001,10,1000,True,1.4,37,3,100
0.001,10,1000,True,1.5,37,3,100
0.001,10,1000,True,1.6,24,3,100
0.001,10,1000,True,1.7,13,3,100
0.001,10,1000,True,1.8,16,3,100
0.001,10,1000,True,1.9,4,3,100
0.001,10,1000,True,2.0,6,3,100
0.001,10,1000,True,2.1,13,3,100
0.001,10,1000,True,2.2,6,3,100
0.001,10,1000,True,2.3,3,3,100
0.001,10,1000,True,2.4,0,3,100
0.001,10,1000,True,2.5,3,3,100
0.001,10,1000,True,2.6,7,3,100
0.001,10,1000,True,2.7,4,3,100
0.001,10,1000,True,2.8,0,3,100
0.001,10,1000,True,2.9,15,3,100
0.001,10,1000,True,3.0,1,3,100
0.001,10,1000,True,3.1,4,3,100
0.001,10,1000,True,3.2,1,3,100
0.001,10,1000,True,3.3,13,3,100
0.001,10,1000,True,3.4,3,3,100
0.001,10,1000,True,3.5,9,3,100
0.001,10,1000,True,3.6,7,3,100
0.001,10,1000,True,3.7,0,3,100
0.001,10,1000,True,3.8,9,3,100
0.001,10,1000,True,3.9,6,3,100
